hashtag,category,subcategory,language,estimated_posts,avg_engagement_rate,professional_use
spalife,Spa & Wellness,General,en,42262,4.5,False
spalove,Spa & Wellness,General,en,35458,3.6,False
spalover,Spa & Wellness,General,en,61339,4.3,False
spalovers,Spa & Wellness,General,en,36893,4.3,False
spaaddict,Spa & Wellness,General,en,589379,3.6,False
spajunkie,Spa & Wellness,General,en,1219,4.3,False
spaobsessed,Spa & Wellness,General,en,42785,3.9,False
spatime,Spa & Wellness,General,en,3899464,3.4,False
spaday,Spa & Wellness,General,en,105772,3.6,False
spagoals,Spa & Wellness,General,en,19297,3.4,False
spavibes,Spa & Wellness,General,en,1824,3.4,False
spamood,Spa & Wellness,General,en,3923,4.3,False
spainspiration,Spa & Wellness,General,en,93247,4.3,False
spamotivation,Spa & Wellness,General,en,1076804,4.3,False
spacommunity,Spa & Wellness,General,en,417118,3.8,False
dayspalife,Spa & Wellness,General,en,37409,3.6,False
dayspalove,Spa & Wellness,General,en,6158,4.2,False
dayspalover,Spa & Wellness,General,en,221294,4.4,False
dayspalovers,Spa & Wellness,General,en,2445096,3.5,False
dayspaaddict,Spa & Wellness,General,en,279465,3.4,False
dayspajunkie,Spa & Wellness,General,en,4232,3.3,False
dayspaobsessed,Spa & Wellness,General,en,31588,3.2,False
dayspatime,Spa & Wellness,General,en,423966,4.4,False
dayspaday,Spa & Wellness,General,en,247231,3.8,False
dayspagoals,Spa & Wellness,General,en,1594589,3.4,False
dayspavibes,Spa & Wellness,General,en,2022725,4.0,False
dayspamood,Spa & Wellness,General,en,4152372,4.4,False
dayspainspiration,Spa & Wellness,General,en,5676,4.3,False
dayspamotivation,Spa & Wellness,General,en,4591935,3.7,False
dayspacommunity,Spa & Wellness,General,en,4394529,3.4,False
medispalife,Spa & Wellness,General,en,4995,3.7,False
medispalove,Spa & Wellness,General,en,3306601,3.9,False
medispalover,Spa & Wellness,General,en,1593,3.9,False
medispalovers,Spa & Wellness,General,en,18770,3.5,False
medispaaddict,Spa & Wellness,General,en,29277,3.5,False
medispajunkie,Spa & Wellness,General,en,774860,3.3,False
medispaobsessed,Spa & Wellness,General,en,2694,3.9,False
medispatime,Spa & Wellness,General,en,1732186,4.2,False
medispaday,Spa & Wellness,General,en,429086,3.6,False
medispagoals,Spa & Wellness,General,en,220306,4.2,False
medispavibes,Spa & Wellness,General,en,547,4.0,False
medispamood,Spa & Wellness,General,en,3167871,4.2,False
medispainspiration,Spa & Wellness,General,en,1969,3.5,False
medispamotivation,Spa & Wellness,General,en,314373,3.6,False
medispacommunity,Spa & Wellness,General,en,1496,4.4,False
hotspalife,Spa & Wellness,General,en,261483,4.0,False
hotspalove,Spa & Wellness,General,en,2635,4.5,False
hotspalover,Spa & Wellness,General,en,450395,4.0,False
hotspalovers,Spa & Wellness,General,en,99503,3.4,False
hotspaaddict,Spa & Wellness,General,en,2138363,4.3,False
hotspajunkie,Spa & Wellness,General,en,48617,4.1,False
hotspaobsessed,Spa & Wellness,General,en,505623,3.9,False
hotspatime,Spa & Wellness,General,en,331656,4.0,False
hotspaday,Spa & Wellness,General,en,428941,4.4,False
hotspagoals,Spa & Wellness,General,en,3057,3.3,False
hotspavibes,Spa & Wellness,General,en,527,3.2,False
hotspamood,Spa & Wellness,General,en,18475,3.8,False
hotspainspiration,Spa & Wellness,General,en,41252,3.3,False
hotspamotivation,Spa & Wellness,General,en,102251,3.6,False
hotspacommunity,Spa & Wellness,General,en,15891,3.2,False
homespalife,Spa & Wellness,General,en,8067,4.1,False
homespalove,Spa & Wellness,General,en,28743,4.0,False
homespalover,Spa & Wellness,General,en,4068,3.5,False
homespalovers,Spa & Wellness,General,en,3500,3.4,False
homespaaddict,Spa & Wellness,General,en,328878,4.1,False
homespajunkie,Spa & Wellness,General,en,80935,3.5,False
homespaobsessed,Spa & Wellness,General,en,3056,3.9,False
homespatime,Spa & Wellness,General,en,2087,4.2,False
homespaday,Spa & Wellness,General,en,3343,4.5,False
homespagoals,Spa & Wellness,General,en,472443,4.4,False
homespavibes,Spa & Wellness,General,en,40815,4.1,False
homespamood,Spa & Wellness,General,en,4832,3.8,False
homespainspiration,Spa & Wellness,General,en,331194,4.0,False
homespamotivation,Spa & Wellness,General,en,358132,4.5,False
homespacommunity,Spa & Wellness,General,en,62147,3.4,False
footspalife,Spa & Wellness,General,en,27240,3.3,False
footspalove,Spa & Wellness,General,en,4608414,3.4,False
footspalover,Spa & Wellness,General,en,36719,4.0,False
footspalovers,Spa & Wellness,General,en,33145,4.2,False
footspaaddict,Spa & Wellness,General,en,4152,3.7,False
footspajunkie,Spa & Wellness,General,en,17905,3.8,False
footspaobsessed,Spa & Wellness,General,en,1184,3.6,False
footspatime,Spa & Wellness,General,en,1068,3.4,False
footspaday,Spa & Wellness,General,en,352419,3.4,False
footspagoals,Spa & Wellness,General,en,1012,4.3,False
footspavibes,Spa & Wellness,General,en,1750,3.2,False
footspamood,Spa & Wellness,General,en,333982,3.9,False
footspainspiration,Spa & Wellness,General,en,3423,3.6,False
footspamotivation,Spa & Wellness,General,en,25494,4.0,False
footspacommunity,Spa & Wellness,General,en,482888,4.3,False
nailspalife,Spa & Wellness,General,en,3949,4.0,False
nailspalove,Spa & Wellness,General,en,804,3.6,False
nailspalover,Spa & Wellness,General,en,69773,4.3,False
nailspalovers,Spa & Wellness,General,en,3146312,3.4,False
nailspaaddict,Spa & Wellness,General,en,3652,3.8,False
nailspajunkie,Spa & Wellness,General,en,30512,4.3,False
nailspaobsessed,Spa & Wellness,General,en,2480,3.9,False
nailspatime,Spa & Wellness,General,en,4517,3.9,False
nailspaday,Spa & Wellness,General,en,4279488,3.4,False
nailspagoals,Spa & Wellness,General,en,15215,3.9,False
nailspavibes,Spa & Wellness,General,en,3996,3.5,False
nailspamood,Spa & Wellness,General,en,106661,3.6,False
nailspainspiration,Spa & Wellness,General,en,4085,4.4,False
nailspamotivation,Spa & Wellness,General,en,4343425,3.8,False
nailspacommunity,Spa & Wellness,General,en,3106903,3.5,False
wellnesslife,Wellness & Wellness,General,en,266814,4.2,False
wellnesslove,Wellness & Wellness,General,en,90442,4.4,False
wellnesslover,Wellness & Wellness,General,en,312171,3.4,False
wellnesslovers,Wellness & Wellness,General,en,2380345,3.5,False
